Наименование;"Наименование артикула";"Код артикула";Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"Краткое описание";Описание;Теги;Заголовок;"META Keywords";"META Description";"Ссылка на витрину";Производитель;Объем;Размеры;Изображения
"Щенок Тимоша";"";"1234";"RUB";"299";"1";"499";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Щенок Тимоша";"";"";"shchenok-timosha";"";"";"Высота: 20 см";"http://www.lavatoys.ru/media/thumbs/c6/f9/c6f914c9c30dae5d52c950bd356b141e.jpg"
"Щенок танцующий";"";"8764s";"RUB";"369";"1";"639";"";"";"Издает звук «Собачий вальс» при нажатии на игрушку";"";"Щенок танцующий";"";"";"shchenok-tantsuyushchiy";"";"";"Высота: 15 см";"http://www.lavatoys.ru/media/thumbs/4e/d5/4ed5818f92988c78f2636c6786fb9a50.jpg"
"Щенок с шарфом";"";"953";"RUB";"319";"1";"499";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Щенок с шарфом";"";"";"shchenok-s-sharfom";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/25/3a/253a23df23f804552260a5eca0f9b4a7.jpg"
"Щенок с ошейником";"";"1002";"RUB";"369";"1";"599";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Щенок с ошейником";"";"";"shchenok-s-osheynikom";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/cb/1c/cb1c9717d555e4f9e65569f7f0808597.jpg"
"Щенок с лохматыми ушками стоящий";"";"1063";"RUB";"399";"1";"599";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Щенок с лохматыми ушками стоящий";"";"";"shchenok-s-lokhmatymi-ushkami-stoyashchiy";"";"";"Высота: 23 см";"http://www.lavatoys.ru/media/thumbs/0f/e1/0fe187f31b13b47f54f9fe65d0624282.jpg"
"Щенок с лохматыми ушками";"";"479";"RUB";"399";"1";"599";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Щенок с лохматыми ушками";"";"";"shchenok-s-lokhmatymi-ushkami";"";"";"Высота: 23 см";"http://www.lavatoys.ru/media/thumbs/fd/db/fddb0cf5fd16543bcb3e6a9c9cb8e3a4.jpg"
"Щенок Рекс";"";"1027";"RUB";"369";"1";"569";"";"";"Издает звук «Щенок с косточкой» при нажатии на игрушку";"";"Щенок Рекс";"";"";"shchenok-reks";"";"";"Высота: 20 см";"http://www.lavatoys.ru/media/thumbs/30/16/301609b72b2574c100d818854302616b.jpg"
"Щенок коричневый сидящий";"";"8782";"RUB";"239";"1";"339";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Щенок коричневый сидящий";"";"";"shchenok-korichnevyy-sidyashchiy";"";"";"Высота: 17 см";"http://www.lavatoys.ru/media/thumbs/86/61/866147e9688d1aa482883c67abed105c.jpg"
"Щенок Дружок";"";"1018";"RUB";"339";"1";"469";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Щенок Дружок";"";"";"shchenok-druzhok";"";"";"Высота: 19 см";"http://www.lavatoys.ru/media/thumbs/43/e5/43e545f864e7318ae0d2bc216865355f.jpg"
"Щенок двухцветный";"";"1013";"RUB";"399";"1";"799";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Щенок двухцветный";"";"";"shchenok-dvukhtsvetnyy";"";"";"Высота: 35 см";"http://www.lavatoys.ru/media/thumbs/0c/6a/0c6aeba81a477923cf8ee139e9f6e3ab.jpg"
"Щенок Грэй";"";"1237";"RUB";"399";"1";"499";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Щенок Грэй";"";"";"shchenok-grey";"";"";"Высота: 20 см";"http://www.lavatoys.ru/media/thumbs/50/41/5041e1888eaf20c0dffc449121802763.jpg"
"Щенок";"";"1243s";"RUB";"269";"1";"369";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Щенок";"";"";"shchenok";"";"";"Высота: 14 см";"http://www.lavatoys.ru/media/thumbs/3d/87/3d877870c96de68ee3c562f45fdacdb7.jpg"
"Чихуахуа Мона";"";"1252";"RUB";"299";"1";"429";"";"";"Издает звук «Ой, потеха (смех)» при нажатии на игрушку";"";"Чихуахуа Мона";"";"";"chikhuakhua-mona";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/ff/a8/ffa88b4a0fce9d8c9c7219ac1c5b7360.jpg"
"Хаски сидящий малый";"";"1271";"RUB";"539";"1";"";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Хаски сидящий малый";"";"";"khaski-sidyashchiy-malyy";"";"";"Высота: 72 шт.";"http://www.lavatoys.ru/media/thumbs/c5/39/c539da556c9dbaa9347276d4874484f9.jpg"
"Хаски малый";"";"1251";"RUB";"299";"1";"439";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Хаски малый";"";"";"khaski-malyy";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/6c/db/6cdb90c75493812d1ab6a4d29fffec35.jpg"
"Фокстерьер стоящий";"";"8143";"RUB";"299";"1";"599";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Фокстерьер стоящий";"";"";"foksterer-stoyashchiy";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/64/95/649587a226cd51d0a7d463dbcbb425a7.jpg"
"Такса в кофточке";"";"8711";"RUB";"239";"1";"369";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Такса в кофточке";"";"";"taksa-v-koftochke";"";"";"Высота: 17 см";"http://www.lavatoys.ru/media/thumbs/18/a6/18a6cf68c1bdbc733897f18f2d65c7a8.jpg"
"Собачка смешная большая";"";"8025B";"RUB";"349";"1";"699";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Собачка смешная большая";"";"";"sobachka-smeshnaya-bolshaya";"";"";"Высота: 30 см";"http://www.lavatoys.ru/media/thumbs/d8/5d/d85db599492d8be19461de497a7dc3d0.jpg"
"Собачка Джули";"";"1242";"RUB";"299";"1";"599";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Собачка Джули";"";"";"sobachka-dzhuli";"";"";"Высота: 20 см";"http://www.lavatoys.ru/media/thumbs/5f/6d/5f6d55bb4171010ac00990f271b229fc.jpg"
"Сенбернар нежный";"";"525";"RUB";"469";"1";"599";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Сенбернар нежный";"";"";"senbernar-nezhnyy";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/71/2e/712e7cd0708a3327624f57fc78d4fe33.jpg"
"Сенбернар малый";"";"1026";"RUB";"299";"1";"469";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Сенбернар малый";"";"";"senbernar-malyy";"";"";"Высота: 19 см";"http://www.lavatoys.ru/media/thumbs/09/bf/09bf3e8b667f0945b8fc22ed966574e8.jpg"
"Пудель стоящий в одежде";"";"8774";"RUB";"319";"1";"399";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Пудель стоящий в одежде";"";"";"pudel-stoyashchiy-v-odezhde";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/e0/13/e0138b88e26ecdd68d86bfc9de0fd053.jpg"
"Пудель сидящий";"";"8615";"RUB";"369";"1";"499";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Пудель сидящий";"";"";"pudel-sidyashchiy";"";"";"Высота: 23 см";"http://www.lavatoys.ru/media/thumbs/bc/7d/bc7d094fc6479b9babc6ba44f41ca6e9.jpg"
"Пудель с бантиками";"";"8531";"RUB";"269";"1";"369";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Пудель с бантиками";"";"";"pudel-s-bantikami";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/39/fa/39fa0bda8b111f2144b90b6769b23028.jpg"
"Пудель пушистый натуральный";"";"1146";"RUB";"369";"1";"539";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Пудель пушистый натуральный";"";"";"pudel-pushistyy-naturalnyy";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/d6/d6/d6d669f8c8aa063e855d27444d930c30.jpg"
"Пудель пушистый";"";"1087";"RUB";"439";"1";"699";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Пудель пушистый";"";"";"pudel-pushistyy";"";"";"Высота: 26 см";"http://www.lavatoys.ru/media/thumbs/23/54/2354116046fe8dfb4dcdd2f4f9d4b6bf.jpg"
"Пудель";"";"8751";"RUB";"299";"1";"699";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Пудель";"";"";"pudel";"";"";"Высота: 26 см";"http://www.lavatoys.ru/media/thumbs/2b/eb/2bebf3659712133db755978eacebc9eb.jpg"
"Пинчер";"";"1142";"RUB";"199";"1";"429";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Пинчер";"";"";"pincher";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/bc/23/bc23cecb0634987af7db596544a007de.jpg"
"Пёс в жилетке";"";"1135";"RUB";"299";"1";"499";"";"";"Издает звук «Щенок с косточкой» при нажатии на игрушку";"";"Пёс в жилетке";"";"";"pёs-v-zhiletke";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/58/c4/58c49575b846cd53cede2ea1f9ef0685.jpg"
"Далматин малый";"";"8785";"RUB";"239";"1";"339";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Далматин малый";"";"";"dalmatin-malyy";"";"";"Высота: 16 см";"http://www.lavatoys.ru/media/thumbs/a2/be/a2bee726efa4f11ebf8ac422c876c1fb.jpg"
"Далматин лежащий";"";"1224";"RUB";"349";"1";"699";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Далматин лежащий";"";"";"dalmatin-lezhashchiy";"";"";"Высота: 30 см";"http://www.lavatoys.ru/media/thumbs/da/e5/dae5d9cdfe97fa4fa81743cac433caf4.jpg"
"Волк-модник";"";"571";"RUB";"599";"1";"899";"";"";"Издает звук «Друг такой мне очень нужен» при нажатии на игрушку";"";"Волк-модник";"";"";"volk-modnik";"";"";"Высота: 29,5 см";"http://www.lavatoys.ru/media/thumbs/e0/0a/e00ab0b3c6147bf304d831469c47ec81.jpg"
"Бульдог стоящий";"";"1272";"RUB";"299";"1";"499";"";"";"Издает звук «Лаем весело встречаю» при нажатии на игрушку";"";"Бульдог стоящий";"";"";"buldog-stoyashchiy";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/08/b7/08b7f743fcf7198475a35b6049249996.jpg"
"Бульдог";"";"1238";"RUB";"469";"1";"669";"";"";"Издает звук «Щенок растёт» при нажатии на игрушку";"";"Бульдог";"";"";"buldog";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/6d/74/6d74e903d07170edec3831fb2f77d3c3.jpg"
"Бигль";"";"1233";"RUB";"299";"1";"599";"";"";"Издает звук «Тяф, тяф, тяф, скорей вставайте» при нажатии на игрушку";"";"Бигль";"";"";"bigl";"";"";"Высота: 27 см";"http://www.lavatoys.ru/media/thumbs/95/74/9574762b29f99435fc0b936fad3a036e.jpg"
"!!Солнце";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Солнышко с хвостиками";"";"8230";"RUB";"199";"1";"299";"";"";"Издает звук «Солнышку все рады» при нажатии на игрушку";"";"Солнышко с хвостиками";"";"";"solnyshko-s-khvostikami";"";"";"Высота: 27 см";"http://www.lavatoys.ru/media/thumbs/c1/b7/c1b7f1089077666336d68f0ccc6740d5.jpg"
"Солнце";"";"8069";"RUB";"199";"1";"299";"";"";"Издает звук «Солнышку все рады» при нажатии на игрушку";"";"Солнце";"";"";"solntse";"";"";"Высота: 27 см";"http://www.lavatoys.ru/media/thumbs/37/eb/37ebcdd979b685e0f728ec48b94f538d.jpg"
"!!Сурикаты";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Сурикат";"";"8790";"RUB";"199";"1";"479";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Сурикат";"";"";"surikat";"";"";"Высота: 26 см";"http://www.lavatoys.ru/media/thumbs/c0/59/c0594b6452bcf8014e9e75c0378ca7ac.jpg"
"!!Суслики";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Суслик";"";"1256";"RUB";"299";"1";"399";"";"";"Издает звук «Ой, потеха (смех)» при нажатии на игрушку";"";"Суслик";"";"";"suslik";"";"";"Высота: 21 см";"http://www.lavatoys.ru/media/thumbs/3e/7b/3e7bcf914e8a5f3680b6b8a44f968398.jpg"
"!!Тигры";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Тигрёнок-игрун";"";"8479";"RUB";"299";"1";"439";"";"";"Издает звук «Буду бегать за хвостом» при нажатии на игрушку";"";"Тигрёнок-игрун";"";"";"tigrёnok-igrun";"";"";"Высота: 18 см";"http://www.lavatoys.ru/media/thumbs/7a/6c/7a6cad7f702642502cb304b1d7cd3e7a.jpg"
"Тигрёнок стоящий";"";"1270";"RUB";"299";"1";"";"";"";"Издает звук «Чудесная страна» при нажатии на игрушку";"";"Тигрёнок стоящий";"";"";"tigrёnok-stoyashchiy";"";"";"Высота: 17 см";"http://www.lavatoys.ru/media/thumbs/c1/20/c12086c6257b83dbf861c8959736cd90.jpg"
"Тигрёнок Рома малый";"";"908A";"RUB";"299";"1";"439";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Тигрёнок Рома малый";"";"";"tigrёnok-roma-malyy";"";"";"Высота: 19 см";"http://www.lavatoys.ru/media/thumbs/c2/fc/c2fcfddb8f50cd6d73e9246121e7b866.jpg"
"Тигрёнок натуральный";"";"1184";"RUB";"299";"1";"499";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Тигрёнок натуральный";"";"";"tigrёnok-naturalnyy";"";"";"Высота: 20 см";"http://www.lavatoys.ru/media/thumbs/34/72/34722b2d27cc56e7b7d9b07004082b2f.jpg"
"Тигрёнок лежащий";"";"1257";"RUB";"399";"1";"469";"";"";"Издает звук «В зоопарк спешите дети» при нажатии на игрушку";"";"Тигрёнок лежащий";"";"";"tigrёnok-lezhashchiy";"";"";"Высота: 25 см";"http://www.lavatoys.ru/media/thumbs/13/21/1321db16be45ef4be24a9c8d41b2d62a.jpg"
"Леопард лежащий";"";"1187";"RUB";"399";"1";"799";"";"";"Издает звук «Буду бегать за хвостом» при нажатии на игрушку";"";"Леопард лежащий";"";"";"leopard-lezhashchiy";"";"";"Высота: 38 см";"http://www.lavatoys.ru/media/thumbs/75/1e/751e926e1f109925e3d9386d3f82f8e6.jpg"
"!!Цветы";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Цветок танцующий";"";"8339s";"RUB";"199";"1";"799";"";"";"Издает звук «Посмотрите, я танцую» при нажатии на игрушку";"";"Цветок танцующий";"";"";"tsvetok-tantsuyushchiy";"";"";"Высота: 38 см";"http://www.lavatoys.ru/media/thumbs/42/ab/42abceeb9491db3ad791534999b915d7.jpg"
"Цветок с бутонами";"";"8766s";"RUB";"199";"1";"399";"";"";"Издает звук «Вальс цветов» при нажатии на игрушку";"";"Цветок с бутонами";"";"";"tsvetok-s-butonami";"";"";"Высота: 27 см";"http://www.lavatoys.ru/media/thumbs/39/a9/39a9a3c599f5252309a71898ccbdc91e.jpg"
"Цветок нежный";"";"8691";"RUB";"199";"1";"399";"";"";"Издает звук «Замечательный цветочек» при нажатии на игрушку";"";"Цветок нежный";"";"";"tsvetok-nezhnyy";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/53/9d/539d9b30046782d1b77b103b2a3f610c.jpg"
"Подсолнух с божьей коровкой в горшке";"";"8692";"RUB";"199";"1";"399";"";"";"Издает звук «Вальс цветов» при нажатии на игрушку";"";"Подсолнух с божьей коровкой в горшке";"";"";"podsolnukh-s-bozhey-korovkoy-v-gorshke";"";"";"Высота: 25 см";"http://www.lavatoys.ru/media/thumbs/a4/79/a4796b16e60cd68411e0a52c64ebc63d.jpg"
"Подсолнух с божьей коровкой";"";"8673";"RUB";"139";"1";"319";"";"";"Издает звук «Вальс цветов» при нажатии на игрушку";"";"Подсолнух с божьей коровкой";"";"";"podsolnukh-s-bozhey-korovkoy";"";"";"Высота: 28 см";"http://www.lavatoys.ru/media/thumbs/5c/9e/5c9eb417291abc45ec6ef9b951afd3a3.jpg"
"Подсолнух";"";"8065";"RUB";"159";"1";"319";"";"";"Издает звук «Вальс цветов» при нажатии на игрушку";"";"Подсолнух";"";"";"podsolnukh";"";"";"Высота: 30 см";"http://www.lavatoys.ru/media/thumbs/19/e1/19e15828275ce0dcf38a6b776ef1c27a.jpg"
"Земляника / цветок";"";"8496s";"RUB";"199";"1";"399";"";"";"Издает звук «Если встанешь рано утром» при нажатии на игрушку";"";"Земляника / цветок";"";"";"zemlyanika--tsvetok";"";"";"Высота: 25 см";"http://www.lavatoys.ru/media/thumbs/8f/a7/8fa7f28c4ea7b9aea72c1edea7353e1a.jpg"
"Земляника";"";"8122s";"RUB";"199";"1";"399";"";"";"Издает звук «Красота вокруг какая» при нажатии на игрушку";"";"Земляника";"";"";"zemlyanika";"";"";"Высота: 20 см";"http://www.lavatoys.ru/media/thumbs/b1/26/b126cab70e0e600a5b3f337fe45172df.jpg"
"!!Черепахи";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
"Черепашка цветная";"";"8602";"RUB";"299";"1";"499";"";"";"Издает звук «Варись, варись кашка» при нажатии на игрушку";"";"Черепашка цветная";"";"";"cherepashka-tsvetnaya";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/8a/ae/8aae87ffb079f55197e2564f36a755ff.jpg"
"Черепашка ситцевая";"";"1195";"RUB";"69";"1";"319";"";"";"Издает звук «Хохотушка» при нажатии на игрушку";"";"Черепашка ситцевая";"";"";"cherepashka-sittsevaya";"";"";"Высота: 19 см";"http://www.lavatoys.ru/media/thumbs/e4/aa/e4aacf8028aae800f72adbc3a6f98109.jpg"
"Черепашка с зелёным панцирем";"";"1154";"RUB";"499";"1";"";"";"";"Издает звук «Хохотушка» при нажатии на игрушку";"";"Черепашка с зелёным панцирем";"";"";"cherepashka-s-zelёnym-pantsirem";"";"";"Высота: 72 шт.";"http://www.lavatoys.ru/media/thumbs/ee/de/eedeaed555b092ab301642630033131c.jpg"
"Черепаха сидящая";"";"8012";"RUB";"269";"1";"469";"";"";"Издает звук «Дружный хоровод» при нажатии на игрушку";"";"Черепаха сидящая";"";"";"cherepakha-sidyashchaya";"";"";"Высота: 22 см";"http://www.lavatoys.ru/media/thumbs/9b/a1/9ba104954cf702d59537b200dffe8707.jpg"
"Черепаха в шляпке";"";"1215";"RUB";"199";"1";"499";"";"";"Издает звук «Хохотушка» при нажатии на игрушку";"";"Черепаха в шляпке";"";"";"cherepakha-v-shlyapke";"";"";"Высота: 24 см";"http://www.lavatoys.ru/media/thumbs/f6/00/f6007b3992cc33715e70c44e4241e8c4.jpg"
